,cg_corr,ch_corr
AT1G01010,-0.13602210392936093,-0.12504583081811688
AT1G01020,0.09171299293653139,0.07942750419547687
AT1G01030,0.46414559565399305,0.4341586639963172
AT1G01040,0.0978816973845329,0.06529948345972383
AT1G01050,0.1694513998670644,0.1288476870020501
AT1G01060,0.18388915264172345,0.1905275996262504
AT1G01070,-0.30809381598592,-0.3000622852257346
AT1G01080,0.46356023192714385,0.49147947931165487
AT1G01090,0.2342226655377938,0.2628914158375742
AT1G01100,-0.10284519969834482,-0.10493053474900678
AT1G01110,-0.30775780096798255,-0.2913126412739222
AT1G01120,-0.19713320808345403,-0.16217064509900084
AT1G01130,-0.17387467896775902,-0.14983128164527754
AT1G01140,0.5990825008795855,0.7198766408619045
AT1G01150,-0.24475093132855888,-0.2255427866725304
AT1G01160,-0.35085566150074915,-0.37022053684858724
AT1G01170,0.042443686530193425,0.09368441223279661
AT1G01180,0.02530067107368048,0.039829754290882265
AT1G01183,0.040328398356397316,0.03073803688593913
AT1G01190,-0.21960215604119526,-0.25353828359745234
AT1G01200,-0.2713225221653437,-0.2628269580656948
AT1G01210,0.21679093715706627,0.145948566453437
AT1G01220,-0.01769969695653456,-0.10694586678847284
AT1G01225,0.008556714048326957,-0.0034535078390052027
AT1G01230,-0.11404348904401074,-0.09892867460803857
AT1G01240,-0.26223644193077794,-0.2217211878046758
AT1G01250,-0.21925791755676843,-0.1904495110904114
AT1G01260,0.11841478430762294,0.06458994970008508
AT1G01280,-0.39513498448990053,-0.4369020611893215
AT1G01290,0.04201533083502611,0.12230556967981279
AT1G01300,-0.10384632004267798,-0.07911438881327502
AT1G01305,-0.21471716390695897,-0.196510516373915
AT1G01310,0.3678531436672054,0.32110897054840504
AT1G01320,0.3089085049985697,0.3179528676467817
AT1G01340,0.27980089619128157,0.2517161103519333
AT1G01350,-0.20428534671831047,-0.13127699793245004
AT1G01355,-0.16920568938745265,-0.1457150683416599
AT1G01360,0.10297675492321023,0.10687902422012231
AT1G01370,-0.26208204095302945,-0.2870833626922117
AT1G01380,-0.428583107822466,-0.4492194651760099
AT1G01390,-0.04131974127406407,-0.04001544847882301
AT1G01400,-0.3652637441597208,-0.38043619676057894
AT1G01410,-0.3779620425735651,-0.3480828740027357
AT1G01420,0.3592788333613705,0.4369006600830214
AT1G01430,-0.3290108952752919,-0.30194578575086667
AT1G01440,0.29149296651962064,0.3041904477694632
AT1G01448,0.2651994648920793,0.3065951736263516
AT1G01453,-0.3284410143090647,-0.364160622995108
AT1G01460,-0.28880116764760017,-0.29991215325515586
AT1G01470,-0.563487381841655,-0.5636294134199896
AT1G01480,-0.16077334958613843,-0.2300910909243179
AT1G01490,0.15985819302356194,0.07548512303477523
AT1G01500,0.42052896821626623,0.38716815723297404
AT1G01510,-0.07757544053687371,-0.06969979607079418
AT1G01520,0.03592491952528401,0.003923700326098202
AT1G01530,-0.13360710691174735,-0.16547151164241136
AT1G01540,0.22498988701119607,0.27405784546121814
AT1G01550,-0.23105117402941766,-0.2125173852165397
AT1G01560,-0.2973448812427517,-0.23908533878306373
AT1G01570,-0.12844950493606674,-0.11457576417253162
AT1G01580,-0.23072849769249607,-0.2964694510027707
AT1G01590,-0.34646693284866353,-0.36679107585193044
AT1G01600,0.34655784296629555,0.31987627258404955
AT1G01610,-0.23627666843588505,-0.12733727491906888
AT1G01620,0.3210838575344861,0.2728757906897152
AT1G01630,-0.018989204785246103,0.05035895676022317
AT1G01640,0.34424107202207455,0.25697128183374107
AT1G01650,-0.5448990893573269,-0.548614238430098
AT1G01660,-0.09087876210189802,-0.11277008716159145
AT1G01670,-0.40375012887017864,-0.4691973716762372
AT1G01680,-0.3181187794791457,-0.3496414727124723
AT1G01690,-0.6747153228889281,-0.6993690415216404
AT1G01695,-0.10208161503833936,-0.06193785128586122
AT1G01700,-0.26812065260277346,-0.24776973496897878
AT1G01710,-0.2133661232143061,-0.20078839097852916
AT1G01715,-0.20603381997038658,-0.22427645322245227
AT1G01720,0.09191299344697855,0.11261564502260896
AT1G01725,0.26769139993385505,0.3003293374292727
AT1G01730,-0.08417742439788727,-0.10002861960718869
AT1G01740,0.5342128046898723,0.6175407914570229
AT1G01750,-0.07429183795486617,-0.013035865062098447
AT1G01760,0.29699295780531426,0.28889113140814954
AT1G01770,0.2613404016373704,0.24215969404101562
AT1G01780,-0.2862830859937356,-0.2987665075791244
AT1G01790,0.3292998586183767,0.3279956957739397
AT1G01800,-0.008298267512984145,0.0448305107043848
AT1G01810,-0.324687846675849,-0.303065203381564
AT1G01820,0.27354589832815246,0.31101258145609345
AT1G01830,-0.042304912241566725,-0.07809741755751819
AT1G01840,0.24313807265793405,0.2597513990173929
AT1G01860,0.02524172522751914,0.07533232968801615
AT1G01880,-0.08021286307971554,-0.04785083075265484
AT1G01900,-0.0893794127822353,-0.12341330478678715
AT1G01910,0.3443553011589007,0.3519637544255402
AT1G01920,-0.18229340748817352,-0.19664594048568312
AT1G01930,0.21939481242606754,0.2923950645632812
AT1G01940,-0.008881513184609946,-0.04552457962786348
AT1G01950,0.528298476731017,0.5372109819732168
AT1G01960,0.23522502709326917,0.26009580322137826
AT1G01970,0.28498757005756414,0.372679756553171
AT1G01980,-0.5518263624017838,-0.5164148980550544
AT1G01990,0.011391394106144348,-0.04123244847840472
AT1G02000,0.59761685581239,0.6376266902889538
AT1G02010,0.49314771142208713,0.4689206763829735
AT1G02020,0.4759406221557409,0.3899100834268907
AT1G02030,-0.1090599221972998,-0.1482912810455418
AT1G02040,-0.00358441297122509,0.023718063628232373
AT1G02050,0.45367361259953065,0.5403441476518986
AT1G02060,0.24066380048346714,0.2928254425725627
AT1G02065,-0.2743506086704414,-0.2678926683824456
AT1G02070,-0.23568768517822072,-0.21234582232438853
AT1G02080,-0.235326030289296,-0.23332079663059788
AT1G02090,0.1236983253447439,0.14201867276214195
AT1G02100,-0.18123741224665488,-0.22631645625905172
AT1G02110,-0.07731163433076703,0.05160444742282483
AT1G02120,0.12745059946461085,0.1239421344976211
AT1G02130,0.02022164083293506,0.10749218753880882
AT1G02140,0.2502490499483497,0.22848210017034848
AT1G02145,-0.1459775225102969,-0.2000499313274715
AT1G02150,0.26607985720049787,0.07393794309577206
AT1G02160,-0.3665449412980288,-0.3554267774017416
AT1G02170,0.19482420024869768,0.1355030340948269
AT1G02180,0.03924982463876384,0.07959427441665691
AT1G02190,-0.008026300261737469,-0.13708575345815505
AT1G02205,-0.20094471150270438,-0.12093430171402185
AT1G02220,-0.279051549704797,-0.2717724622148335
AT1G02230,-0.21874421618009016,-0.2822848322858117
AT1G02250,-0.11010537841483338,-0.20592393838556586
AT1G02260,-0.05096856780341756,-0.10617205446243423
AT1G02270,0.1643362472881367,0.14861333430663645
AT1G02280,0.4529036016014971,0.4878402686065944
AT1G02290,0.4484309461174317,0.41782636083636726
AT1G02300,0.21459642759696246,0.31487395708558996
AT1G02305,0.10114285008911064,0.09864240099981872
AT1G02310,0.2249263849965868,0.269236424864596
AT1G02330,0.12984101521834723,0.11526808372070402
AT1G02335,-0.132911004081977,-0.19046849146182948
AT1G02340,-0.11355682239566442,-0.05152655229668194
AT1G02350,0.4479858430553666,0.440031176299332
AT1G02360,-0.28366157059193015,-0.2835237437668843
AT1G02370,0.11012661287647905,0.10755420867467383
AT1G02380,0.11354649946487229,0.12673810782244194
AT1G02390,-0.03325743120970374,-0.07338346372733065
AT1G02400,-0.07757460206135548,-0.07745920755229388
AT1G02405,-0.21632094604675145,-0.22701500651353973
AT1G02410,0.3115272835157814,0.35734003169273726
AT1G02420,0.3132410586119946,0.28284360635870587
AT1G02430,-0.16340855903096468,-0.25456447050626624
AT1G02440,-0.3755715600086341,-0.36957268181542996
AT1G02450,0.5121581794693119,0.5273835382261952
AT1G02460,-0.22745700812966424,-0.2431959814832246
AT1G02470,-0.0497618893736315,-0.04017160132520823
AT1G02475,0.37220891937834977,0.3283381458280661
AT1G02500,0.08161717704264675,0.11929865907246053
AT1G02510,-0.24431354656852922,-0.20954844364364
AT1G02520,-0.17300752620445176,-0.20320875803641297
AT1G02530,0.16937318879337404,0.1540554226849657
AT1G02540,-0.25100204416219263,-0.27519369326537085
AT1G02550,-0.2789653481215457,-0.28900128303390554
AT1G02560,0.4391742543983654,0.4243734086939178
AT1G02570,-0.2754967856040352,-0.28061888182686295
AT1G02575,0.06731769298410072,0.10852024839624744
AT1G02580,-0.26101666688397873,-0.3485579289914806
AT1G02590,-0.24944870641880865,-0.24533379200215613
AT1G02610,-0.1438915710506259,-0.14265551354967568
AT1G02620,-0.3782894469299799,-0.3669428131441747
AT1G02630,-0.29541117323738897,-0.2904873914885222
AT1G02640,0.08831361283377623,0.0387305963115995
AT1G02650,-0.034712126185544555,-0.17508012616198962
AT1G02660,-0.6882155321752667,-0.7025167155155446
AT1G02670,-0.26958447551698017,-0.2611533649074339
AT1G02680,-0.05393933119555434,-0.07518569382853707
AT1G02690,-0.0574933300920427,-0.12238932405606043
AT1G02700,-0.4595321627807251,-0.5155300776027314
AT1G02705,-0.3159867682956384,-0.29292828232249224
AT1G02720,0.4068709097363105,0.42993275783792145
AT1G02730,0.1323204860347763,0.15840837158466925
AT1G02740,0.3530720755730136,0.3894062650586985
AT1G02750,0.5005705514426388,0.48710735845500286
AT1G02770,-0.07798724846833126,-0.07977221895186794
AT1G02780,-0.197408179152869,-0.2188454083444124
AT1G02790,-0.07877954841294565,-0.0364030599393775
AT1G02800,0.41745284875871963,0.4700301243755571
AT1G02810,-0.32782091097537386,-0.3690439753341802
AT1G02813,-0.4156684357302801,-0.4243509555809396
AT1G02816,0.1860354421354485,0.15709160998901026
AT1G02820,0.30512696637523523,0.28681422696337067
AT1G02830,-0.13013970589581042,-0.07782054692838951
AT1G02840,0.07036121389430726,-0.007716618271388683
AT1G02850,0.3710409883455787,0.40228855665281993
AT1G02860,-0.14569898172336695,-0.0902159532367951
AT1G02870,0.4819844823296511,0.5081889245976591
AT1G02880,-0.005215710653815652,0.05007893841426197
AT1G02890,0.1465957441157916,0.17540767683922828
AT1G02900,0.4499962382003553,0.49538682666823647
AT1G02910,0.07707605120267143,0.039270952010029996
AT1G02920,0.08376549306580111,0.09769121052247892
AT1G02930,-0.01655056935229754,0.025910681312496544
AT1G02940,0.5162458286785937,0.4845668710541248
AT1G02950,-0.046413641182076346,-0.07607214040188304
AT1G02960,0.047683955022758205,0.060145231012365345
AT1G02965,0.40026673654354256,0.4382067895625473
AT1G02970,-0.38110458363860933,-0.3693012442031517
AT1G02980,-0.09092203925447861,-0.09859774420518065
AT1G02990,0.09972989732273004,0.1798086738983552
AT1G03000,0.2289882744762125,0.23986837951109927
AT1G03010,-0.1855866029129688,-0.17361328122905784
AT1G03020,-0.29960424554682197,-0.3229219628465375
AT1G03030,0.400446192102611,0.3887176772130283
AT1G03040,-0.19050820202197583,-0.2304964011898104
AT1G03050,0.24278772963111614,0.30533113990056504
AT1G03055,0.5277663601400914,0.4866030303374841
AT1G03060,-0.2716778007430579,-0.2683734033310086
AT1G03070,-0.28929523327693774,-0.29906336612671375
AT1G03080,-0.5140807668427151,-0.5002240131820762
AT1G03090,-0.5967278820887906,-0.6642297819694771
AT1G03100,-0.30459588359486545,-0.33267332181283704
AT1G03103,-0.4663463920172518,-0.4850249316402335
AT1G03106,0.056898413502640355,0.026048638344328662
AT1G03110,-0.19860924377948347,-0.14015207167858543
AT1G03120,0.5318289293543762,0.44879949734444685
AT1G03130,0.3089100655728467,0.2670614719841902
AT1G03140,0.32065430851334015,0.325559533057704
AT1G03150,0.4944722827245598,0.48748854610567033
AT1G03160,0.35256482969259123,0.37521790582331827
AT1G03165,0.46587094618899355,0.4477736320938388
AT1G03170,0.42259685258136703,0.40277817749894534
AT1G03180,-0.19163777686665742,-0.2036575497645734
AT1G03190,-0.09013794477220519,-0.15273321670600098
AT1G03200,-0.34617110640010135,-0.34784472404667155
AT1G03210,-0.04816446196855613,-0.07524426799992727
AT1G03220,-0.11219495175483707,-0.09839281071566407
AT1G03230,0.5611379766572127,0.48878089094723604
AT1G03240,-0.33258576586461364,-0.3505297705816153
AT1G03250,0.5213880162695532,0.48609772762171105
AT1G03260,0.14136651534825553,0.1466986698968824
AT1G03270,0.4076758550400686,0.4856900454079764
AT1G03280,0.15112569000748063,0.1949237198351236
AT1G03290,0.15296090070775628,0.1696342716979725
AT1G03310,0.25458532331707545,0.292282458748708
AT1G03320,-0.2373078119825674,-0.2519312246307867
AT1G03330,0.3063858904893115,0.2429366038479606
AT1G03340,0.2059597551399979,0.18704321116649983
AT1G03350,-0.17177105429874537,-0.20465813003137925
AT1G03360,0.12468636108228134,0.1867717170411172
AT1G03365,0.15740497953046645,0.1546229298899281
AT1G03370,0.26687965169216643,0.2773211015012794
AT1G03380,0.20496212606583364,0.18694421081206614
AT1G03390,-0.3978987759937946,-0.37946206769165625
AT1G03400,0.4330664809118991,0.44611341825357903
AT1G03410,0.524304971584163,0.3841420848468397
AT1G03430,0.12272689050394371,0.09981753383858824
